8.81896 12.7445 13.7144	-13.6287 -12.5918 19.6144
10.7796 14.7041 13.7145	-14.0399 -11.6879 20.0655
8.81847 16.664 13.7271	-12.8003 -11.7446 25.5673
10.7792 18.6216 13.7211	-13.4537 -11.3897 22.9113
8.81733 20.5813 13.721	-12.3116 -12.4911 22.529
10.7778 22.5412 13.7079	-13.2702 -12.4948 17.1234
0.980827 14.7047 15.6957	8.51745 8.2743 -31.3729
2.93996 12.7441 15.6957	8.30202 8.93424 -32.2956
0.981167 18.6276 15.6983	7.42388 5.08594 -31.5288
2.94032 16.6653 15.7003	7.07099 6.0349 -32.59
0.98026 22.5477 15.6931	7.34141 7.1694 -30.6151
2.94006 20.5877 15.698	6.52353 5.55988 -32.3338
4.90056 14.7032 15.7003	5.94841 7.71447 -33.7438
6.86162 12.7424 15.6984	5.71147 8.38141 -34.4579
4.9007 18.6258 15.7026	4.96675 4.85418 -34.5683
6.86163 16.6632 15.7027	4.83272 5.94189 -35.9087
4.90012 22.5463 15.6982	4.17043 6.94183 -32.7693
6.8613 20.5855 15.7005	3.64506 5.37493 -35.5419
8.82201 14.7012 15.6983	6.58598 7.55252 -35.5234
10.7813 12.7402 15.6934	9.0525 7.2002 -34.318
8.82187 18.6235 15.7007	5.24858 4.57257 -36.7042
10.7812 16.6607 15.6986	7.84931 4.93414 -35.5038
8.82118 22.5437 15.696	4.27246 7.07297 -35.228
10.7806 20.5826 15.6961	6.82752 4.7461 -35.7694
0.981602 12.7394 17.6391	21.5422 17.6419 -0.223032
2.94167 14.7003 17.6392	25.0746 19.8919 -0.0333471
0.982607 16.6611 17.6389	22.513 18.55 -0.713296
2.94269 18.6205 17.639	26.3434 13.1696 -0.308059
0.983341 20.5815 17.6386	23.6161 10.5411 -0.592082
2.9435 22.5421 17.6386	26.8785 12.151 0.0878099
4.90023 12.7392 17.6394	22.8813 16.6401 0.375034
6.85885 14.7 17.6394	18.9251 19.7596 0.327452
4.90072 16.6602 17.6393	24.2408 17.8296 0.0880462
6.85953 18.6194 17.6393	19.4611 12.4206 0.24213
4.90184 20.5803 17.6389	24.8121 9.82542 0.271946
6.86095 22.5408 17.639	19.6873 11.7924 0.704263
8.81823 12.7391 17.6395	15.5931 16.5613 0.273047
10.7785 14.6997 17.6396	18.0211 19.559 -0.0810785
8.81838 16.6596 17.6396	16.2044 17.6036 0.067001
10.7791 18.6187 17.6397	17.9099 12.3128 -0.151602
8.81939 20.5791 17.6394	16.2069 9.34557 0.275777
10.7801 22.5394 17.6395	18.2292 12.2377 0.383993
0.977979 14.6921 19.5852	12.1845 6.38983 32.8591
2.93722 12.7328 19.5848	9.27829 7.35516 33.2954
0.978237 18.6151 19.5831	14.4903 3.96539 33.0061
2.93727 16.6536 19.5806	12.1575 5.40995 33.695
0.979372 22.535 19.5884	14.1741 6.79978 31.6263
2.93821 20.576 19.5832	12.9734 5.35485 33.13
4.89776 14.6931 19.5801	8.22922 7.24133 34.424
6.85877 12.7344 19.5818	6.14727 7.27743 34.9985
4.89804 18.6158 19.5782	10.4765 4.65974 35.2273
6.8586 16.6549 19.5777	8.69374 4.98929 36.2173
4.89963 22.5356 19.5829	10.2804 7.27368 32.8087
6.85974 20.577 19.5801	9.16358 4.4058 35.4532
8.81882 14.695 19.582	8.663 5.97871 35.6457
10.7778 12.7368 19.5868	10.0665 6.67863 34.6296
8.81905 18.6173 19.5798	10.2039 2.73062 36.5848
10.7777 16.6572 19.5818	11.9082 3.74875 35.5072
8.82076 22.537 19.5847	10.1232 5.2636 34.2316
10.7787 20.5792 19.5845	12.1513 3.04885 35.2522
0.980126 12.7388 21.5724	-22.931 -14.3829 -17.5322
2.94159 14.699 21.5595	-24.3287 -13.6606 -23.4884
0.979917 16.6568 21.559	-25.8393 -13.4421 -22.7701
2.94123 18.6153 21.5529	-26.0279 -12.3333 -25.3508
0.980019 20.5732 21.5654	-26.6529 -13.1765 -18.9143
2.94127 22.5338 21.5655	-25.6387 -13.3134 -19.5864
4.90136 12.7397 21.5593	-22.3789 -13.7059 -23.8154
6.86108 14.6999 21.5531	-23.4929 -13.0392 -26.2497
4.90159 16.6581 21.547	-24.7025 -12.2617 -28.6813
6.861 18.6168 21.5469	-25.2382 -12.1778 -28.3549
4.90139 20.5747 21.553	-25.685 -12.3892 -25.295
6.86042 22.5356 21.5591	-24.8983 -13.5508 -22.4664
8.82038 12.7403 21.5659	-22.6186 -13.8863 -20.6218
10.7819 14.7013 21.566	-24.8486 -12.9987 -21.0515
8.821 16.6592 21.5531	-25.2553 -12.7459 -26.1998
10.7819 18.6188 21.5592	-26.6076 -12.4596 -23.327
8.82078 20.5765 21.5594	-25.9398 -13.3727 -22.5039
10.7812 22.5382 21.5725	-25.2146 -13.6309 -16.8951
0.976544 24.5021 13.7079	-15.605 -14.6714 15.9527
2.93762 26.4622 13.7207	-17.1895 -15.209 22.0332
0.976938 28.4213 13.7209	-19.8261 -13.9579 21.7689
2.93736 30.3796 13.7272	-20.117 -14.5341 24.4012
0.977205 32.3396 13.7144	-22.193 -13.9112 18.3923
2.93796 34.3002 13.7143	-23.0886 -15.5259 18.5432
4.8971 24.5021 13.721	-14.3753 -15.8522 22.4421
6.85631 26.4623 13.727	-15.5922 -14.5585 25.2832
4.89707 28.4209 13.7331	-17.712 -15.2384 27.5347
6.85556 30.3794 13.7331	-18.4351 -14.5562 27.5027
4.89644 32.3388 13.727	-20.6478 -15.9294 24.2918
6.85513 34.2995 13.7207	-22.0633 -16.1496 21.2851
8.81627 24.5025 13.7144	-14.2067 -13.191 19.9206
10.7774 26.4623 13.7142	-16.4287 -12.6223 20.5742
8.81586 28.4211 13.727	-17.4882 -12.9894 25.5133
10.7761 30.3793 13.7209	-19.1668 -12.9266 22.8229
8.81457 32.3388 13.7206	-20.4119 -14.1547 21.6571
10.7751 34.299 13.7076	-22.2856 -14.2679 15.8494
0.979581 26.4661 15.6957	8.2321 7.20055 -30.1758
2.93927 24.5062 15.6956	6.39223 7.61422 -30.7999
0.978502 30.3879 15.6981	10.8198 5.09952 -30.9433
2.93861 28.4264 15.7004	8.46536 5.45605 -31.3849
0.977884 34.3072 15.6927	11.4293 7.92574 -30.1229
2.93777 32.3481 15.6978	10.1742 5.88868 -31.1227
4.89961 26.465 15.7005	5.00028 6.79344 -32.3877
6.86084 24.5043 15.6984	3.25947 7.82615 -33.6197
4.89883 30.3869 15.7026	7.44417 4.754 -33.0464
6.8603 28.4247 15.7029	5.38467 5.49322 -34.5941
4.89873 34.3067 15.6979	7.66722 7.49428 -30.3202
6.85979 32.3466 15.7004	6.62685 5.68422 -33.2405
8.82089 26.4626 15.6984	5.21653 7.23184 -35.1151
10.78 24.501 15.6935	6.54832 7.61417 -34.913
8.82028 30.3847 15.7007	7.43284 4.67862 -35.3634
10.7797 28.4217 15.6988	8.56465 4.99686 -35.6077
8.8204 34.3046 15.6956	7.69016 7.58599 -31.9328
10.7793 32.3436 15.6958	9.91935 5.14135 -34.3534
0.983831 24.5037 17.6386	23.9863 16.961 -0.197291
2.94435 26.4642 17.6389	26.6984 19.8447 0.0405732
0.984328 28.4242 17.6391	23.6413 17.8409 -0.752361
2.94502 30.383 17.6391	26.6422 13.1642 -0.84069
0.9841 32.3424 17.6394	23.6915 9.88587 -1.32109
2.94493 34.3023 17.6396	26.5946 12.3177 -1.40534
4.903 24.503 17.6388	24.946 16.9333 0.600739
6.86223 26.4632 17.6392	19.8508 20.8246 0.967475
4.90398 28.4234 17.6391	24.8308 18.5029 0.170485
6.86335 30.382 17.6393	19.2729 13.8953 0.329014
4.90483 32.3421 17.6393	24.581 10.5766 -0.763257
6.86437 34.302 17.6397	19.2782 13.1281 -0.787955
8.82089 24.5015 17.6393	16.7015 17.554 0.98104
10.7818 26.4615 17.6398	17.8837 21.3175 1.27848
8.8223 28.4223 17.6395	16.0305 19.4999 1.16508
10.7834 30.3809 17.6398	17.0301 14.8299 1.35887
8.82361 32.3412 17.6396	15.5932 11.4421 0.413494
10.7844 34.3013 17.6401	17.4582 14.4649 0.5138
0.980229 26.4535 19.5859	14.5683 7.27352 31.6006
2.93942 24.4938 19.5859	13.0034 8.30778 31.404
0.981501 30.3759 19.5827	12.8663 4.28215 32.7203
2.94048 28.4146 19.5808	12.9682 5.9991 32.6379
0.982035 34.2948 19.5876	10.3243 6.45774 32.2974
2.94185 32.3362 19.5828	10.4889 5.63019 33.1053
4.90069 26.454 19.5808	11.0112 7.9662 32.7334
6.86134 24.4949 19.5826	9.55363 7.6733 32.9438
4.90224 30.3763 19.5781	9.70202 5.32644 34.3924
6.86261 28.4156 19.5779	9.73018 5.71955 34.7253
4.90317 34.2955 19.5824	7.1508 7.74687 33.347
6.86435 32.3372 19.5798	7.21747 5.35293 34.9949
8.82217 26.4555 19.5824	10.9834 6.32966 33.8009
10.7803 24.4969 19.5871	12.6425 6.25621 33.0696
8.82399 30.3779 19.5795	9.35465 3.64788 35.222
10.782 28.4178 19.5817	12.407 4.27198 33.6573
8.82515 34.2972 19.5843	6.96323 6.39931 34.2342
10.7838 32.3396 19.584	9.93727 4.164 33.7902
0.979884 24.4942 21.5717	-25.0748 -13.846 -16.4782
2.94013 26.4552 21.5588	-23.692 -13.2864 -22.5121
0.979162 28.4142 21.5584	-23.2853 -13.1925 -22.0905
2.93952 30.3735 21.5525	-20.9075 -12.5044 -24.7379
0.979173 32.3328 21.565	-19.1629 -13.4372 -19.0691
2.93891 34.2943 21.5651	-15.828 -13.9026 -19.7887
4.90045 24.4956 21.5589	-24.1896 -13.2935 -22.7169
6.8585 26.4567 21.5526	-22.4863 -13.2604 -25.1189
4.899 28.4153 21.5465	-21.7207 -12.393 -27.6381
6.85743 30.375 21.5466	-19.8067 -13.033 -27.4907
4.89833 32.3338 21.5526	-17.6668 -13.053 -24.9833
6.85619 34.2953 21.5587	-14.8389 -14.718 -22.5217
8.81919 24.4976 21.5656	-23.83 -14.0909 -19.5488
10.779 26.4595 21.5657	-23.2885 -13.8444 -19.9206
8.81729 28.4171 21.5529	-22.0263 -13.7707 -25.0281
10.7776 30.3772 21.5592	-21.2585 -14.2001 -22.3231
8.81628 32.3353 21.5592	-18.0788 -14.9195 -22.0438
10.7762 34.2971 21.5722	-15.8543 -15.745 -16.5836
0.978864 36.2628 13.7076	-24.966 -14.2896 15.8606
2.93915 38.2232 13.7206	-25.3852 -15.4396 21.716
0.979768 40.1841 13.721	-26.1386 -13.7881 22.1657
2.93995 42.1428 13.7271	-25.051 -14.6235 24.4838
0.981135 44.1039 13.7143	-24.8959 -13.7977 18.967
2.94175 46.0644 13.714	-23.122 -15.4675 19.3385
4.89725 36.2614 13.7207	-24.0427 -16.7605 21.4029
6.85562 38.2218 13.7268	-24.1471 -15.7407 23.8447
4.89783 40.1823 13.733	-24.602 -15.7623 26.8948
6.85638 42.1411 13.7329	-24.2899 -15.1242 26.6015
4.89932 44.1021 13.7267	-23.9379 -16.0336 24.3871
6.85835 46.0624 13.7204	-23.1175 -16.0915 21.6653
8.81444 36.2607 13.7141	-23.6631 -14.8387 18.155
10.775 38.2207 13.7143	-24.8363 -14.0689 18.4063
8.81465 40.1809 13.727	-24.8895 -14.0831 23.6534
10.7754 42.139 13.721	-25.7213 -13.5723 20.7358
8.81615 44.1002 13.7205	-24.9184 -14.4683 20.7052
10.7774 46.0599 13.7076	-24.6967 -14.1307 15.1955
0.978008 38.2248 15.6953	12.4056 8.38176 -30.3888
2.93788 36.2656 15.6952	10.3842 8.55618 -29.2573
0.9781 42.1463 15.6981	12.6591 6.10767 -32.2623
2.93787 40.1851 15.7002	11.8446 6.58909 -30.9601
0.978906 46.0652 15.6933	11.1561 8.93335 -32.164
2.93844 44.1064 15.6981	10.5902 6.87361 -32.2715
4.89892 38.2243 15.7001	8.99056 7.86279 -29.7862
6.86025 36.2644 15.698	7.06138 8.59284 -29.7631
4.89897 42.1457 15.7026	9.46712 5.75647 -32.2123
6.86017 40.1842 15.7025	8.96953 6.54604 -31.2304
4.8998 46.0647 15.6985	7.60919 8.23975 -32.0153
6.86067 44.1054 15.7006	7.51981 6.29455 -32.4773
8.82084 38.2227 15.6979	9.45611 8.11704 -30.2228
10.7799 36.2616 15.6929	10.546 8.19719 -30.7365
8.82085 42.1445 15.7005	9.95484 5.32197 -31.6947
10.7801 40.182 15.6981	12.5787 5.72013 -30.2959
8.82155 46.0635 15.696	8.21954 7.64668 -31.7632
10.7805 44.1036 15.6958	11.4012 5.23535 -31.0618
0.983346 36.2622 17.6399	23.7951 16.7069 -1.21855
2.94436 38.2221 17.6399	26.4307 20.1009 -1.98809
0.982782 40.1806 17.6398	23.4036 17.7013 -1.58994
2.94371 42.1393 17.6398	26.3281 13.2706 -2.14272
0.982025 44.098 17.6398	22.8863 9.81922 -1.05581
2.94279 46.0583 17.64	25.4382 12.2063 -0.983121
4.90489 36.2627 17.6399	24.5851 17.6348 -1.77089
6.86414 38.2227 17.64	19.6631 21.6787 -2.29352
4.90413 40.1812 17.6399	24.6321 18.9519 -2.74238
6.86326 42.14 17.6398	19.3312 14.1436 -2.91162
4.90338 44.0988 17.64	24.1676 10.518 -2.12524
6.86251 46.0593 17.64	18.7897 12.5452 -1.63753
8.82432 36.2625 17.6401	16.3047 19.0736 -0.937762
10.7848 38.2226 17.6403	17.9089 22.7479 -1.10193
8.82384 40.1818 17.64	16.2872 20.2222 -2.58091
10.7844 42.141 17.6401	17.9013 15.2002 -2.15398
8.82306 44.0998 17.64	16.0028 11.2014 -2.3376
10.7834 46.0605 17.6401	18.2282 13.6238 -1.30059
0.981672 38.2127 19.585	8.38722 6.37769 32.4709
2.94175 36.2535 19.5852	8.2495 8.04065 32.4017
0.981073 42.134 19.5819	7.29037 3.46601 33.6976
2.94132 40.1735 19.5801	6.61822 5.46299 33.7955
0.979502 46.0529 19.587	7.25046 6.10614 33.448
2.94012 44.0944 19.5822	6.37697 5.31803 34.3757
4.90279 38.2136 19.5803	5.27899 7.9684 34.1668
6.86466 36.255 19.5822	5.21179 8.37173 34.137
4.90205 42.135 19.5776	4.30114 5.28017 35.9029
6.8642 40.1752 19.5775	3.5829 6.09976 36.4444
4.90047 46.0542 19.582	4.16895 7.87734 34.5087
6.86293 44.0962 19.5796	3.20263 5.8111 36.5538
8.82513 38.2158 19.582	5.19781 7.1773 35.2726
10.7842 36.2575 19.5867	7.99203 7.4765 33.2667
8.82445 42.1374 19.5794	3.99187 4.36819 36.9097
10.7842 40.1781 19.5815	6.16492 5.18061 34.9163
8.82276 46.0565 19.5844	4.21721 7.26505 35.4078
