8.82654 12.7402 13.7137	4.36384 4.93874 -14.6905
10.7843 14.7061 13.7148	8.52498 6.7852 -11.7504
8.82829 16.6642 13.7271	11.8144 5.95301 -5.56521
10.7873 18.6216 13.7168	-1.15072 5.18841 -10.8499
8.82365 20.5773 13.7201	-4.39426 -2.21224 -16.0674
10.7859 22.5387 13.6993	-7.99994 -5.97398 -21.669
0.976327 14.691 15.6932	-2.16605 -0.229883 -2.72836
2.93986 12.7409 15.6928	-4.9041 -13.0299 -4.71887
0.977639 18.6157 15.6943	21.6008 -0.784247 1.75187
2.9374 16.6537 15.6988	1.40131 0.248992 -8.54488
0.98244 22.5336 15.6847	12.9009 4.53248 13.8055
2.94235 20.5806 15.6951	17.0962 0.064202 11.458
4.89977 14.6998 15.7012	-4.66639 -14.3633 -6.38333
6.86542 12.7452 15.6945	-20.3426 -16.044 2.77312
4.90165 18.6231 15.7018	0.457197 -2.89599 0.0970595
6.861 16.666 15.7018	-12.1415 -3.00476 -5.95633
4.90839 22.5412 15.6942	9.86482 7.31964 18.7579
6.8669 20.5873 15.6976	1.28148 -8.32828 6.04474
8.82229 14.7068 15.6918	-18.7659 -11.392 5.89177
10.7766 12.7433 15.6804	-18.9803 -1.40059 18.606
8.82379 18.6273 15.6942	-15.6518 -9.2076 -3.39863
10.7794 16.6671 15.6864	-15.8365 -7.17264 10.6201
8.83038 22.5482 15.6908	-1.47916 -3.67425 9.03386
10.7858 20.5873 15.6839	-8.69132 -15.5137 2.67581
0.974678 12.7489 17.6456	25.7335 -2.98009 16.3777
2.93828 14.7051 17.643	22.0921 5.69372 17.1318
0.980105 16.6697 17.6495	19.6551 12.8088 -0.0622383
2.93812 18.6279 17.6451	10.6802 -0.442523 -10.1022
0.981692 20.5862 17.647	8.37567 -10.0292 -15.2815
2.94165 22.5449 17.6429	15.3106 7.27639 -13.1144
4.89758 12.7459 17.6334	9.43941 3.07448 20.2037
6.8591 14.7052 17.6311	-16.1949 16.5363 18.0664
4.89815 16.6665 17.6393	10.242 23.0343 15.2859
6.8582 18.6262 17.6399	-26.0861 0.312464 14.1096
4.89848 20.5852 17.6427	-7.31261 -7.76602 -11.6948
6.86066 22.5401 17.6411	-25.8405 5.71728 -10.7087
8.82363 12.7471 17.6335	-19.3977 14.161 -4.57284
10.7845 14.7056 17.6356	-18.1738 22.8756 -3.61883
8.82261 16.6641 17.6341	-38.5865 19.0968 8.95267
10.785 18.6207 17.6375	-30 -5.33681 4.86201
8.81914 20.5806 17.6386	-39.9664 -15.7362 11.811
10.7824 22.5362 17.6376	-27.0124 -0.00297496 7.42036
0.977378 14.7025 19.5899	16.6766 -4.21148 -16.4532
2.93439 12.7382 19.5912	8.81455 5.86296 -27.5031
0.985015 18.6291 19.5868	-1.30696 7.11342 -0.399255
2.93805 16.6615 19.5812	9.36136 4.35589 -8.91599
0.979365 22.5546 19.5956	-5.51077 8.86128 -0.03298
2.93917 20.5888 19.5899	-2.35762 1.87807 11.111
4.8982 14.6939 19.5823	1.82916 3.87128 -17.3187
6.85627 12.7336 19.5864	-11.601 12.3186 -23.5038
4.89885 18.6216 19.5775	9.40683 1.85895 2.10332
6.85978 16.6541 19.5773	0.261202 13.5784 -8.47206
4.89743 22.5456 19.5897	0.065254 10.3495 8.51603
6.85878 20.5838 19.5829	2.97971 3.32174 6.77962
8.81691 14.6921 19.5831	-13.6634 17.648 -11.5561
10.784 12.7426 19.5909	-5.27227 17.4633 -11.5888
8.81961 18.6181 19.5804	-5.43708 6.10535 -7.78239
10.7766 16.6558 19.581	-10.6645 11.7434 -3.08667
8.81676 22.5392 19.5915	-7.0769 14.2269 0.433652
10.7763 20.5784 19.5888	-2.3869 4.06126 -14.7515
0.973324 12.7359 21.5754	-6.0233 12.0596 19.075
2.9314 14.6974 21.5582	2.15357 4.1302 16.0109
0.976549 16.6616 21.5627	1.89693 8.25424 4.72108
2.93506 18.6171 21.5523	20.4743 3.11776 0.94137
0.978597 20.5831 21.5698	16.8911 -1.9223 4.30752
2.93574 22.5444 21.5703	19.6223 -9.88525 7.55966
4.8863 12.7336 21.5577	3.47742 9.21452 18.5823
6.84763 14.6947 21.5482	21.1984 5.493 10.8313
4.8904 16.6583 21.5418	14.7422 2.25627 7.393
6.84763 18.6182 21.5409	22.3438 -15.6826 2.36845
4.88875 20.5766 21.5504	28.8232 -10.2364 5.74054
6.84502 22.539 21.5595	30.4989 -17.3567 7.68649
8.8087 12.7281 21.5658	21.756 1.92621 26.5261
10.77 14.6857 21.568	26.1574 -12.9079 15.4819
8.80809 16.6527 21.548	27.2018 -10.4574 1.42688
10.7649 18.6117 21.558	28.2454 -13.1341 1.2514
8.8054 20.5774 21.5602	26.0549 -14.9364 2.82072
10.7643 22.5423 21.5757	29.0039 -7.20685 11.3309
0.981545 24.4874 13.7014	-26.5147 -33.9859 -15.9578
2.94104 26.4534 13.7196	-12.2886 -28.5016 -6.08189
0.985278 28.416 13.7189	-3.78089 -25.1293 -1.7795
2.9442 30.3782 13.729	1.9145 -30.1326 1.52625
0.987995 32.3394 13.7104	15.5259 -24.1628 -5.98464
2.94343 34.3067 13.7125	17.0676 -19.9741 -9.9763
4.90059 24.4911 13.7181	-14.7261 -21.8178 -14.2425
6.8583 26.4598 13.7314	-9.82479 -21.8976 -5.59152
4.89975 28.4206 13.7402	-12.6985 -27.8718 3.88928
6.85833 30.3816 13.7402	-10.6439 -22.71 5.10951
4.89901 32.3412 13.7305	10.5642 -25.739 -1.68673
6.85747 34.303 13.7251	16.898 -10.2377 -0.345735
8.81976 24.4954 13.707	-13.2902 -9.8622 -21.0703
10.7801 26.4567 13.7076	-5.97633 -13.0442 -14.5911
8.81907 28.4222 13.7349	-8.06008 -20.5256 -1.10571
10.7809 30.3819 13.7234	0.0812186 -6.17098 1.13152
8.81805 32.3421 13.7217	2.30995 -6.11008 0.787413
10.7834 34.3001 13.7064	-1.0521 -12.4479 -5.79937
0.985868 26.4463 15.6961	9.42043 11.4426 3.35103
2.94882 24.4939 15.6948	11.7032 13.4903 9.52039
0.981443 30.363 15.6965	-6.3805 7.29478 2.78115
2.94487 28.4077 15.7035	7.47895 6.86845 -9.70179
