10.7267 18.6002 13.6555	127.158 19.1889 70.549
8.80607 20.6101 13.6261	-1.46733 -59.6414 75.7899
10.7958 22.55 13.6697	-67.7936 79.8657 140.499
0.970666 14.6896 15.6782	-130.581 96.7248 -9.90818
2.92397 12.815 15.6853	-74.8123 -72.2109 38.0423
0.976567 18.6633 15.7282	178.698 43.7146 -0.0608086
2.95002 16.7483 15.6538	30.8607 -58.0222 -122.373
1.00234 22.5628 15.7323	97.1952 -104.613 -51.2392
2.93645 20.6709 15.7149	21.1617 -52.9507 -84.3608
4.9425 14.7626 15.6322	-88.409 -16.7263 -101.93
6.87815 12.7494 15.653	1.35135 2.163 5.3556
4.93815 18.7016 15.6922	53.5103 -105.777 95.5309
6.8718 16.7055 15.6234	-61.619 19.5311 -101.278
4.88941 22.5743 15.7094	56.506 2.51062 51.7905
6.87142 20.5811 15.713	46.7372 -32.3015 -80.5245
8.74859 14.6664 15.6929	5.80266 14.672 74.76
10.7633 12.8263 15.6812	76.856 -4.52184 2.67755
8.80234 18.6496 15.6872	-32.9323 43.7794 -25.9046
10.7013 16.669 15.7223	-117.746 -30.8342 -126.606
8.81425 22.5652 15.61	-30.6467 -230.302 113.747
10.7654 20.5182 15.6511	-45.0081 -55.2931 20.781
0.972907 12.8135 17.6005	-50.6442 -1.83752 -155.871
2.96429 14.7236 17.5958	-18.3266 19.184 -79.8597
1.05065 16.6974 17.639	-2.06674 -22.2949 -70.6127
2.90977 18.7061 17.6228	103.657 41.0347 -115.518
0.987497 20.6346 17.68	123.537 32.8674 48.9051
2.92927 22.531 17.6714	-102.775 11.9081 -107.07
4.8975 12.8386 17.6734	-125.581 -133.148 -43.3689
6.86557 14.7227 17.6442	-9.49359 -57.4426 7.21581
4.90549 16.7667 17.5516	37.3471 -77.8184 149.936
6.83643 18.6551 17.6066	-46.3562 110.784 -33.0221
4.92075 20.5977 17.6646	-199.714 -20.5693 -2.22474
6.86418 22.5409 17.6662	83.2114 -60.9789 -64.6614
8.82715 12.7506 17.6409	-146.5 -82.4991 45.114
10.767 14.7189 17.6642	9.91073 -41.5197 140.858
8.74641 16.6909 17.6521	26.5369 113.852 83.6305
10.815 18.6648 17.7244	78.8583 24.3803 26.8024
8.82185 20.6367 17.6511	50.3239 105.473 157.033
10.8241 22.5574 17.5978	-2.23407 -75.8691 -47.0736
0.946429 14.7557 19.5617	-84.63 -1.62159 13.4441
2.91815 12.7838 19.5867	-4.40573 18.4701 -19.4059
1.00011 18.73 19.6306	89.2881 -119.508 23.7396
2.90787 16.703 19.608	-51.5978 66.8509 151.358
0.969427 22.5998 19.6292	-87.3444 21.434 49.7306
2.96649 20.6104 19.6645	75.0543 70.5676 13.4522
4.84396 14.7593 19.6022	18.2925 -64.3494 -26.6964
6.84199 12.7623 19.5364	12.0707 -29.5035 -53.4529
